mes,oficina_id,oficina,provincia,comunidad_autonoma,zona_operativa,expedientes_recibidos,expedientes_resueltos,documentacion_pendiente,incidencias_abiertas,tiempo_medio_espera_min,satisfaccion_media,tasa_resolucion_pct,ratio_incidencias_pct
2025-07,OFI-SEV-002,Oficina Empleo Andalucía,Sevilla,Andalucía,Sur,1156,925,154,72,53.6,3.27,80.02,6.23
2025-08,OFI-SEV-002,Oficina Empleo Andalucía,Sevilla,Andalucía,Sur,2224,1895,187,46,35.8,4.63,85.21,2.07
2025-09,OFI-SEV-002,Oficina Empleo Andalucía,Sevilla,Andalucía,Sur,2475,2475,219,80,18.4,3.24,100.0,3.23
2025-10,OFI-SEV-002,Oficina Empleo Andalucía,Sevilla,Andalucía,Sur,2609,2588,51,38,33.5,2.68,99.2,1.46
2025-11,OFI-SEV-002,Oficina Empleo Andalucía,Sevilla,Andalucía,Sur,1466,1358,197,65,23.5,2.5,92.63,4.43
2025-12,OFI-SEV-002,Oficina Empleo Andalucía,Sevilla,Andalucía,Sur,2872,2672,86,22,17.2,3.74,93.04,0.77
2025-01,OFI-VAL-001,Oficina Empleo Valencia,Valencia,Comunidad Valenciana,Este,2164,1826,207,84,26.0,2.63,84.38,3.88
2025-02,OFI-VAL-001,Oficina Empleo Valencia,Valencia,Comunidad Valenciana,Este,1178,875,60,32,63.8,3.96,74.28,2.72
2025-03,OFI-VAL-001,Oficina Empleo Valencia,Valencia,Comunidad Valenciana,Este,2057,1696,78,36,43.1,4.16,82.45,1.75
2025-04,OFI-VAL-001,Oficina Empleo Valencia,Valencia,Comunidad Valenciana,Este,1062,981,109,64,27.6,4.89,92.37,6.03
2025-05,OFI-VAL-001,Oficina Empleo Valencia,Valencia,Comunidad Valenciana,Este,3005,3005,136,10,34.2,2.44,100.0,0.33
2025-06,OFI-VAL-001,Oficina Empleo Valencia,Valencia,Comunidad Valenciana,Este,3111,2982,127,9,39.4,4.51,95.85,0.29
2025-07,OFI-VAL-001,Oficina Empleo Valencia,Valencia,Comunidad Valenciana,Este,1610,1476,103,28,52.6,3.83,91.68,1.74
2025-08,OFI-VAL-001,Oficina Empleo Valencia,Valencia,Comunidad Valenciana,Este,1441,1339,71,87,41.6,2.61,92.92,6.04
2025-09,OFI-VAL-001,Oficina Empleo Valencia,Valencia,Comunidad Valenciana,Este,1992,1703,77,48,70.7,3.79,85.49,2.41
2025-10,OFI-VAL-001,Oficina Empleo Valencia,Valencia,Comunidad Valenciana,Este,2346,2346,46,53,62.3,3.57,100.0,2.26
2025-11,OFI-VAL-001,Oficina Empleo Valencia,Valencia,Comunidad Valenciana,Este,2980,2881,157,60,62.5,4.32,96.68,2.01
2025-12,OFI-VAL-001,Oficina Empleo Valencia,Valencia,Comunidad Valenciana,Este,1164,860,206,60,20.0,4.12,73.88,5.15
2025-01,OFI-VAL-002,Oficina Empleo Levante,Valencia,Comunidad Valenciana,Levante,2377,2147,150,55,52.8,3.53,90.32,2.31
2025-02,OFI-VAL-002,Oficina Empleo Levante,Valencia,Comunidad Valenciana,Levante,1302,1062,56,48,50.3,4.62,81.57,3.69
2025-03,OFI-VAL-002,Oficina Empleo Levante,Valencia,Comunidad Valenciana,Levante,1363,1085,58,6,45.3,2.77,79.6,0.44
2025-04,OFI-VAL-002,Oficina Empleo Levante,Valencia,Comunidad Valenciana,Levante,1983,1816,28,23,55.6,4.64,91.58,1.16
2025-05,OFI-VAL-002,Oficina Empleo Levante,Valencia,Comunidad Valenciana,Levante,980,879,207,67,30.3,2.88,89.69,6.84
2025-06,OFI-VAL-002,Oficina Empleo Levante,Valencia,Comunidad Valenciana,Levante,1068,1068,125,34,14.5,3.4,100.0,3.18
2025-07,OFI-VAL-002,Oficina Empleo Levante,Valencia,Comunidad Valenciana,Levante,2314,2115,84,37,51.1,2.92,91.4,1.6
2025-08,OFI-VAL-002,Oficina Empleo Levante,Valencia,Comunidad Valenciana,Levante,2177,2075,170,20,59.4,2.63,95.31,0.92
2025-09,OFI-VAL-002,Oficina Empleo Levante,Valencia,Comunidad Valenciana,Levante,1152,1152,183,23,70.2,3.71,100.0,2.0
2025-10,OFI-VAL-002,Oficina Empleo Levante,Valencia,Comunidad Valenciana,Levante,1384,1020,25,85,44.1,4.27,73.7,6.14
2025-11,OFI-VAL-002,Oficina Empleo Levante,Valencia,Comunidad Valenciana,Levante,2900,2400,145,47,26.4,2.59,82.76,1.62
2025-12,OFI-VAL-002,Oficina Empleo Levante,Valencia,Comunidad Valenciana,Levante,2574,1877,37,42,44.0,3.01,72.92,1.63
